username,degree_centrality,in_degree_centrality,out_degree_centrality,closeness_centrality,betweenness_centrality,pagerank,load_centrality,hits_hub,hits_auth,clustering,triangles,eigenvector_centrality,square_clustering,community
joebiltz,0.35664335664335667,0.13986013986013987,0.21678321678321677,0.30157471394584795,0.0055849149080163096,0.004064003098341821,0.005794165605913008,0.015232808184727071,0.010050870400247814,0.5832892649391856,1103,0.09598123924407569,0.38336084606796217,5
yuningshiu,0.28321678321678323,0.1258741258741259,0.15734265734265734,0.34128205128205125,0.006674678543541506,0.003589967057165521,0.0063093132190038285,0.011159299489760017,0.009293695933607644,0.6365248226950354,718,0.09241230899134234,0.3804256526055132,4
daniekristine88,0.05244755244755245,0.027972027972027972,0.024475524475524476,0.26218851570964247,0.005211903106639925,0.004369136556311214,0.005205189547294787,3.888903725957845e-05,3.761324788845437e-05,0.7777777777777778,28,0.0004849350853977688,0.3006134969325153,6
mads0076,0.1888111888111888,0.08041958041958042,0.10839160839160839,0.27784156142365096,0.001186354707065241,0.0027303681718346914,0.0012604127833460666,0.00647951183762268,0.0053946522430301305,0.5512605042016807,328,0.04888480766057226,0.3358671365719946,4
pinkmadigan,0.45454545454545453,0.20279720279720279,0.2517482517482518,0.31310279934133145,0.004214664397126585,0.005289306467950741,0.004283521427799631,0.01688449232189624,0.013804452869948945,0.5223004694835681,1335,0.1369771833571831,0.3582065384876548,5
pscotty97,0.13636363636363635,0.06643356643356643,0.06993006993006994,0.3083873957367933,0.004239610082975967,0.0028839076855523716,0.004149692168345495,0.005409091103785908,0.004844137427750515,0.6739130434782609,186,0.051083563417435626,0.4106769791527759,5
lln.syrs,0.47202797202797203,0.2062937062937063,0.26573426573426573,0.3617830932318565,0.03564541360704082,0.005729818168222761,0.030511996720248274,0.016477631371697117,0.012837598150879311,0.4414333032219211,1466,0.12289748772176415,0.30927941767109846,5
megj.ha,0.1048951048951049,0.04895104895104895,0.055944055944055944,0.32349009600194434,0.015362858941818222,0.003719825659140571,0.014627025587868861,0.0003129858289078361,0.0002659719727323808,0.35,42,0.003472662077450211,0.13264634948476212,1
chloe.mcintyre,0.22727272727272727,0.11888111888111888,0.10839160839160839,0.2950565284859233,0.0010143470654908995,0.003649433448815642,0.0010607236174506077,0.0077150886099686565,0.007997177202677362,0.6024390243902439,494,0.07926020404355524,0.3818438035454065,5
ginafrancesca_25,0.11538461538461539,0.11538461538461539,0.0,0.29664516517964795,0.0,0.0031957450882604582,0.0,-0.0,0.008678543858002766,0.6022727272727273,318,0.08110575393234838,0.40434833705488304,5
alyson.power,0.055944055944055944,0.027972027972027972,0.027972027972027972,0.2588738694933385,0.0006947035318568328,0.0024536530647044723,0.0007639928824075972,8.497908572870202e-06,8.787994903608236e-06,0.4666666666666667,21,0.0001221745500013435,0.21071428571428572,1
taradactal12,0.23426573426573427,0.09090909090909091,0.14335664335664336,0.28050579557428873,0.0011763215296983003,0.0027933115769320518,0.0012443697634152897,0.00875417544760939,0.006139044209335062,0.5634146341463414,462,0.05973634196654063,0.3306093263190153,4
duhitz.llundgold,0.20279720279720279,0.07342657342657342,0.12937062937062938,0.27522746071133164,0.0004448036788577553,0.0022003328698371387,0.00046993806437749567,0.008627110520756256,0.005463316857948789,0.5294871794871795,413,0.0472559979194868,0.34617415146715713,4
gorybibleverse,0.36013986013986016,0.17832167832167833,0.18181818181818182,0.30700034598085574,0.001899398561368117,0.004843594406277056,0.0018954822472173718,0.012978638830329518,0.012266219344089191,0.5616076150185088,1062,0.1258761603052164,0.37631485144362825,5
evelumpkin,0.1258741258741259,0.05944055944055944,0.06643356643356643,0.331878818102481,0.0036159058978042623,0.0028600514448482114,0.002882011573428808,0.0038441581312588305,0.0035356391288273665,0.5321637426900585,91,0.036541985162405824,0.25295401520282984,1
kristenschuch,0.11888111888111888,0.11888111888111888,0.0,0.29621956236016495,0.0,0.0034762958433492337,0.0,-0.0,0.008678278621429706,0.6506238859180036,365,0.08721134315502756,0.4056664663595291,5
pheldman15,0.08741258741258741,0.038461538461538464,0.04895104895104895,0.2575713594581519,0.0004031861745748272,0.0026904992840839264,0.0004773607182377301,8.430009315235488e-06,7.814767202530477e-06,0.6095238095238096,64,9.970541589462471e-05,0.26351542598358335,1
alilmoonbean,0.02097902097902098,0.01048951048951049,0.01048951048951049,0.2847972611533112,0.0,0.0014741334800768193,0.0,0.00016233137126541112,0.00012085979918901453,1.0,3,0.0017946598261930067,0.48214285714285715,1
peachy.lili,0.23426573426573427,0.14335664335664336,0.09090909090909091,0.2998085369974096,0.0037289311192908597,0.0038368911886088692,0.003916393906815246,0.005483266422817503,0.009702094769316017,0.5484848484848485,543,0.08950329270049966,0.3418008921655047,4
_0113_,0.08391608391608392,0.038461538461538464,0.045454545454545456,0.2655891449665769,0.0016087395862851358,0.003238610365493278,0.0016191318151730918,1.1207847636243423e-05,1.1019318881340435e-05,0.3717948717948718,29,0.00014776023363438453,0.14211695040710584,1
afrocentric_prince_cosplay,0.006993006993006993,0.0034965034965034965,0.0034965034965034965,0.0034965034965034965,0.0,0.0057184959685087095,0.0,-9.751170311162779e-23,2.1784409164577428e-20,0.0,0,7.610954000847941e-19,0.0,0
boardwomaan,0.08041958041958042,0.04195804195804196,0.038461538461538464,0.26118524332810045,0.0011703626650417516,0.0034401732411692663,0.001275763048337773,3.2972855405966596e-06,7.053072194089793e-06,0.3516483516483517,32,9.718797252170029e-05,0.15509340853013748,1
holly.gumballs,0.493006993006993,0.21678321678321677,0.2762237762237762,0.31454566938437906,0.008321981780600637,0.005634770129519142,0.007185416884304186,0.01817657207819019,0.014561609111086896,0.47164266823391127,1605,0.1445969605664203,0.3319652137451669,5
morgandiningerr,0.013986013986013986,0.0034965034965034965,0.01048951048951049,0.22777445024386067,1.754401338888874e-05,0.0011343774997046654,1.3672487356697886e-05,4.154373614560296e-06,3.4787982265040136e-06,0.6666666666666666,2,4.76461910690968e-05,0.1044776119402985,1
fuze_you_later,0.05944055944055944,0.027972027972027972,0.03146853146853147,0.2562818908250698,0.003055225967503916,0.0034267325157347536,0.003335672081599864,7.805238860111512e-05,8.266067788765401e-05,0.5833333333333334,21,0.0008331972693003449,0.2968980797636632,6
chris.with.a.k,0.19230769230769232,0.0944055944055944,0.0979020979020979,0.27596931370516276,0.001595381774771428,0.0027943497921717273,0.0013780619475438037,0.007275126542974773,0.007202791303499574,0.6991596638655462,416,0.07047215089502598,0.42521716693902123,5
selinaseliskar,0.0979020979020979,0.045454545454545456,0.05244755244755245,0.2615188132429512,0.013106080780858072,0.003794097913246686,0.014384513727544868,8.422159795749414e-06,1.1810268681070651e-05,0.44166666666666665,53,0.00014999954585043847,0.15934664246823957,1
savannah_nehring,0.06643356643356643,0.06643356643356643,0.0,0.26848509098184004,0.0,0.004365397707833245,0.0,-0.0,1.0802590725906771e-05,0.5321637426900585,91,0.00015370999468224944,0.22349717417365988,1
llundgold02,0.25874125874125875,0.0979020979020979,0.16083916083916083,0.29127913338439654,0.0006912171142696644,0.002674061605084765,0.0007324374639594987,0.011058870664066424,0.006920654857635635,0.5701357466063348,756,0.05941852150633266,0.3548616952842793,4
callanwrites,0.34965034965034963,0.18181818181818182,0.16783216783216784,0.35612040133779266,0.01789926877907973,0.005255346483863402,0.017187757284753778,0.011619868268819646,0.01203373674064864,0.5359438924605494,917,0.12407031741031652,0.3499807507945015,5
tessla93,0.0,0.0,0.0,0.0,0.0,0.0009110212159513634,0.0,-0.0,-0.0,0.0,0,9.290715333066334e-23,0.0,2
maybe_marye,0.024475524475524476,0.01048951048951049,0.013986013986013986,0.29420866489832004,6.834375729445763e-05,0.001429552714384896,0.0001449451766897479,0.00023793220871524954,0.00019409465081052704,0.5,3,0.002531122135739629,0.10588235294117647,1
lilli.otto,0.2202797202797203,0.08041958041958042,0.13986013986013987,0.27596931370516276,0.00041973225538560895,0.002449437292622345,0.0004345756930658004,0.01044768528322898,0.00607423134680203,0.6799557032115172,614,0.05821755130506137,0.42567787418655095,5
stoked.18,0.4020979020979021,0.1888111888111888,0.21328671328671328,0.32868255340165453,0.021234032772131987,0.0058663242629201735,0.021022098074375738,0.014723022243920659,0.012577224950175051,0.509657594381036,1161,0.1325882642009003,0.3391221041630378,5
that1dancer,0.06643356643356643,0.03146853146853147,0.03496503496503497,0.26252465483234716,0.006917419812156681,0.0049169876671533086,0.0069107062528115425,3.99097976956327e-05,3.838789755271283e-05,0.7777777777777778,35,0.0004966286798594808,0.3033854166666667,6
thicccy.nicccy,0.16783216783216784,0.06293706293706294,0.1048951048951049,0.27784156142365096,0.00016380134681697432,0.002073110755050166,0.0001884611698847349,0.008059033570603375,0.005078371926743316,0.7358870967741935,365,0.04799854998057095,0.452681699314156,5
irmina_pantherina,0.05244755244755245,0.02097902097902098,0.03146853146853147,0.20873519956088762,4.263494827749915e-05,0.0021514698502054777,4.196612649563209e-05,1.0531862079526463e-06,5.685009737168874e-07,0.7777777777777778,28,1.1581643099782877e-05,0.4215500945179584,1
ian_mail1,0.2062937062937063,0.15384615384615385,0.05244755244755245,0.2998085369974096,0.0003486663937413886,0.004093730558337073,0.00033657796913023365,0.0038168041600855824,0.011223426051643445,0.6135265700483091,635,0.10707982318637443,0.39644306837158844,5
wolfordbill01,0.25874125874125875,0.0944055944055944,0.16433566433566432,0.280122066715774,0.0004048943460069895,0.002655624862618688,0.0004294399405159154,0.012740280220455681,0.007436604269847798,0.7098039215686275,905,0.0678538855272825,0.44544071731646784,5
srshriv,0.26573426573426573,0.09090909090909091,0.17482517482517482,0.3407141942915653,0.09461523835400079,0.005811289056501482,0.09855966224594914,0.00018810452744015896,0.00014680140597819497,0.21306122448979592,261,0.0017004087849427877,0.1097650235985967,1
mia.vela21,0.02097902097902098,0.01048951048951049,0.01048951048951049,0.2855916747130136,0.00019964153665655605,0.0011593620649318495,0.0002362353604845028,0.0004519285868160989,0.0004936402313233117,0.3333333333333333,1,0.004605314626242184,0.23,4
caroline_stiller541,0.5,0.21678321678321677,0.28321678321678323,0.31406323737612085,0.00411154644689088,0.005613437497744899,0.0039742479380846405,0.0191788342878578,0.015106616831836806,0.52101087275933,1773,0.15083955978100347,0.3529830378578746,5
katelyntreichel,0.03496503496503497,0.02097902097902098,0.013986013986013986,0.20194204217872858,4.839215365531156e-05,0.003690619765116454,4.90737332842596e-05,2.7503391407643933e-06,3.405954670782413e-06,0.7333333333333333,11,5.078270058683946e-05,0.5486111111111112,6
haley_sieg,0.07342657342657342,0.03496503496503497,0.038461538461538464,0.2588738694933385,0.0005710881495544778,0.002654440693548355,0.0006215030292470876,1.2253489123785304e-05,1.3232702550342971e-05,0.43956043956043955,40,0.00016506009818868534,0.21431016775077028,1
gaboffthewall,0.5209790209790209,0.21678321678321677,0.3041958041958042,0.35861511518254074,0.029059433201441293,0.0056822907638925555,0.02820218022862545,0.019746345671149433,0.014283888040898399,0.4564294631710362,1828,0.14067517650258538,0.32034205859451376,5
aswandive,0.03146853146853147,0.013986013986013986,0.017482517482517484,0.27229950900163663,0.0,0.0011907547341928097,0.0,0.0008851933917900951,0.0009611753472389089,1.0,10,0.008387437362611388,0.3351206434316354,4
beckymelvin_,0.013986013986013986,0.013986013986013986,0.0,0.25086881526735716,0.0,0.0018029668008171223,0.0,-0.0,5.009560012403089e-06,0.5,3,7.051552967318845e-05,0.140625,1
kyrastillwell,0.14335664335664336,0.06643356643356643,0.07692307692307693,0.26872602463153644,0.002696975117447863,0.004735181863478493,0.002676505761785863,1.7878900782807832e-05,1.627155616987538e-05,0.3852813852813853,89,0.0002244687838911253,0.18642102550888945,1
heather_suzanna,0.017482517482517484,0.017482517482517484,0.0,0.29750005038189475,0.0,0.0019584533016255737,0.0,-0.0,0.00012151014907080706,0.6,6,0.0013510442263458219,0.14124293785310735,1
acdivine03,0.038461538461538464,0.013986013986013986,0.024475524475524476,0.22477412817698217,0.0016291828617049473,0.001967750430407379,0.0018048926434214901,0.000310271690988372,2.2736976260683914e-05,0.5238095238095238,11,0.000310353883972986,0.15159574468085107,6
pease4him,0.03146853146853147,0.017482517482517484,0.013986013986013986,0.2615188132429512,6.175111438269334e-05,0.002762864087567281,0.000122684333210649,3.769382376186616e-05,4.105563299744464e-05,0.6666666666666666,10,0.0004955983937710326,0.14666666666666667,6
noahstsilva,0.11888111888111888,0.11888111888111888,0.0,0.34182952808780626,0.0,0.0037432944591439276,0.0,-0.0,0.008357800481458766,0.5686274509803921,319,0.07872117471113767,0.3570075124278294,5
donovancardy_,0.3041958041958042,0.16783216783216784,0.13636363636363635,0.3056257175660161,0.0006480740242055559,0.0043591436642830906,0.0006210228920396773,0.01082353238094335,0.012760315457346325,0.6666666666666666,990,0.12731913479300241,0.42399377400307914,5
cholesarchive,0.024475524475524476,0.024475524475524476,0.0,0.25521017919040173,0.0,0.0013396797690752886,0.0,-0.0,0.0019566016099218622,1.0,21,0.017552257839156628,0.4931506849315068,4
